Id,SalePrice
1461,121991.26655964548
1462,150671.28126737112
1463,184330.41016687077
1464,181350.7599198375
1465,195829.02688097904
1466,181294.10812704853
1467,166489.26235816107
1468,173930.1989890013
1469,186325.0559469505
1470,125502.6317607657
1471,198725.5255396703
1472,91767.51025228665
1473,94509.90267432386
1474,153293.61511935512
1475,149843.76309920038
1476,403157.9754043852
1477,247220.09615832687
1478,305239.48092503595
1479,237239.8042813774
1480,453650.25772250624
1481,315117.5035786647
1482,206273.04382186552
1483,170880.73442435794
1484,176325.16432423718
1485,170677.49025384904
1486,199889.97012364303
1487,292380.6837041927
1488,235257.33837215818
1489,206091.23582887845
1490,198304.47112707654
1491,195118.67290154248
1492,101662.79834506506
1493,175670.20670221714
1494,288220.30465363804
1495,283772.0018240566
1496,228145.39752153202
1497,193084.7368907876
1498,151626.87838004594
1499,152569.38301033384
1500,150439.1816196636
1501,168972.81956346592
1502,163265.37270511573
1503,276606.60721335583
1504,243522.60237342783
1505,215434.74384405138
1506,178720.419092249
1507,209670.62600660106
1508,201128.01548220788
1509,161677.20464502388
1510,155895.87036560636
1511,154755.81442545436
1512,167374.8712402515
1513,140226.55283025297
1514,149688.0625570251
1515,181931.47651716645
1516,157603.31980774057
1517,149301.983436105
1518,125367.68618292813
1519,226140.17935901578
1520,140036.44125139664
1521,145790.3775388576
1522,157506.47874134197
1523,112994.10138030608
1524,119554.05382142247
1525,121570.24990627858
1526,126412.70617400947
1527,98261.28652960953
1528,128490.53387984337
1529,145187.45064936034
1530,165818.80648620063
1531,126808.93145980817
1532,103302.0900236264
1533,136838.18978582477
1534,115702.74067958233
1535,154377.69609105986
1536,114936.69967602342
1537,81812.28832001927
1538,168636.85523921915
1539,217971.08901104517
1540,121158.67622289452
1541,143244.98666433265
1542,138374.6517811756
1543,205475.92551182635
1544,82977.64190721404
1545,94496.21847343007
1546,117346.8232534272
1547,131009.90341939522
1548,127998.23207460382
1549,111249.12514438544
1550,136694.8299658016
1551,115216.3101558457
1552,137264.0125018777
1553,142059.7628250246
1554,105677.99602104611
1555,165260.65458408798
1556,90549.3543014723
1557,122800.18866848644
1558,89681.50640105878
1559,114673.19189992004
1560,150353.01247142963
1561,137785.5661977085
1562,124701.9706874995
1563,123818.11476489436
1564,165930.46590541408
1565,154051.88083796535
1566,203430.07460843294
1567,81937.93089474647
1568,216762.1098933614
1569,146432.18702727326
1570,129927.04716371707
1571,130160.1492174159
1572,148142.92648029167
1573,245010.96623686494
1574,103977.97750474825
1575,208052.13523030022
1576,205558.8917016969
1577,205361.41777781438
1578,146661.51740758185
1579,145524.73781747904
1580,193519.576792109
1581,139374.77737622167
1582,128367.65235890094
1583,311964.6927206268
1584,238848.50504265534
1585,141474.84331654842
1586,71304.65887244255
1587,105008.12810336726
1588,147446.4364650069
1589,106840.95501732874
1590,132276.1901261189
1591,104517.2029106864
1592,116555.14967269599
1593,112597.39382793149
1594,121880.36522199748
1595,119569.46128099589
1596,232816.48383051698
1597,166094.8961767717
1598,183251.52280584446
1599,201655.5357317056
1600,185502.51057546216
1601,70338.96105276058
1602,108881.84201925901
1603,89834.41122701936
1604,264908.7268820165
1605,248267.9356643222
1606,165931.27146068178
1607,149705.9322212924
1608,220851.01362729628
1609,200345.30397924327
1610,161488.2530481145
1611,147055.18288649348
1612,164208.49431796974
1613,160440.75709209408
1614,123884.91963440506
1615,88736.73553720188
1616,80810.89421731819
1617,89415.19637935143
1618,127144.16305092574
1619,131967.93234684615
1620,151583.7600088197
1621,135017.28862594505
1622,150846.51060811727
1623,285412.12096560624
1624,205049.93756887273
1625,123180.06404471949
1626,172045.2779547959
1627,185335.24871645073
1628,282559.93921465566
1629,170587.63711155526
1630,310963.3667545035
1631,212258.78827568557
1632,248376.89919842605
1633,164155.5422794579
1634,181122.21976308135
1635,177401.57552198152
1636,155265.41793263212
1637,183217.0980877659
1638,214236.76047174924
1639,175573.17945587097
1640,259335.01742943047
1641,182519.08233045597
1642,220230.5156530753
1643,228782.06151775114
1644,226330.16499669495
1645,184329.7805490179
1646,155374.74997237377
1647,156967.85336118378
1648,146266.556212423
1649,136972.31155639625
1650,125766.23465667546
1651,126101.32256607267
1652,92665.79254985786
1653,95377.20404883701
1654,158104.22280965996
1655,159265.50289093627
1656,154876.7063127271
1657,159250.21731689354
1658,157734.51325322295
1659,149495.19621254853
1660,143515.80154101798
1661,426932.8233328218
1662,400700.80033304077
1663,386716.4131774102
1664,453050.1886722474
1665,312453.61409041955
1666,300674.9357065268
1667,321078.2494699495
1668,316903.002153287
1669,309881.93823836336
1670,337194.6786806183
1671,271244.75661380606
1672,475242.0252364686
1673,287720.74158158305
1674,260078.3761277832
1675,181766.6567965702
1676,186655.76139194862
1677,216711.2074253099
1678,463583.01939301175
1679,341408.50023431156
1680,313139.3546474891
1681,260577.7200269573
1682,307584.9306790498
1683,187633.63532842053
1684,166095.5017311126
1685,174891.3805115822
1686,169958.82526954013
1687,167436.6354090801
1688,187260.79741775614
1689,187048.98614829752
1690,183783.91692313377
1691,173974.80877098284
1692,256842.5091236741
1693,167556.55339981295
1694,183012.85320391948
1695,164948.87451632333
1696,281497.76828488306
1697,163336.86061418807
1698,328036.6138732964
1699,297720.71767724236
1700,233835.76643418075
1701,260809.65663622902
1702,258999.48587420536
1703,255977.6757148313
1704,292207.09583844146
1705,227748.34407747377
1706,451244.36731641385
1707,221241.80534358555
1708,221459.46765826148
1709,288068.06009341805
1710,219885.74205814215
1711,254766.6435050404
1712,220229.99106925508
1713,264522.90915537014
1714,221535.6545878456
1715,197815.70587313134
1716,177219.10778147206
1717,168565.4604464779
1718,114050.76226584162
